Name,Team,Pass Yds,Pass Tds,Pass Ints,Rush Yds,Rush Tds,Rec Yds,Rec Tds,2 Point Conversions,Fumbles Lost,Fumbles Recovered For Tds,Pat Made,FG Made 0to49,FG Made 50 Plus,Sacks,Def Ints,Fumbles Recovered,Safeties,Def Tds,Kick Punt Return Tds,2 Point Conversion Returns,Pnts All 0,Pnts All 1to6,Pnts All 7to13,Pnts All 14to20,Pnts All 21to27,Pnts All 28to34,Pnts All 35 Plus
Drew Brees,NO,222,4,0,-2,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taysom Hill,NO,48,0,0,54,0,21,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jameis Winston,NO,12,0,0,-3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvin Kamara,NO,0,0,0,40,1,9,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latavius Murray,NO,0,0,0,39,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Washington,NO,0,0,0,9,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Burton,NO,0,0,0,1,0,12,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Thomas,NO,0,0,0,0,0,51,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deonte Harris,NO,0,0,0,0,0,40,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Trautman,NO,0,0,0,0,0,39,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Sanders,NO,0,0,0,0,0,38,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Cook,NO,0,0,0,0,0,30,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre'Quan Smith,NO,0,0,0,0,0,14,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Hill,NO,0,0,0,0,0,14,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquez Callaway,NO,0,0,0,0,0,11,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Brady,TB,209,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronald Jones II,TB,0,0,0,9,0,9,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Evans,TB,0,0,0,0,0,64,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Godwin,TB,0,0,0,0,0,41,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonard Fournette,TB,0,0,0,0,0,41,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Brown,TB,0,0,0,0,0,31,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Johnson,TB,0,0,0,0,0,11,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Miller,TB,0,0,0,0,0,10,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Gronkowski,TB,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine Gabbert,TB,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wil Lutz,NO,0,0,0,0,0,0,0,0,0,0,5,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Morstead,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradley Pinion,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Succop,TB,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buccaneers,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,1
Saints,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3,1,0,0,0,0,0,1,0,0,0,0,0
