Week,Start,Home,Away
1,2020-09-10 20:20:00,KC,KC
1,2020-09-13 13:00:00,ATL,SEA
1,2020-09-13 13:00:00,CAR,LV
1,2020-09-13 13:00:00,JAX,JAX
1,2020-09-13 13:00:00,BAL,BAL
1,2020-09-13 13:00:00,BUF,BUF
1,2020-09-13 13:00:00,DET,CHI
1,2020-09-13 13:00:00,MIN,GB
1,2020-09-13 13:00:00,WAS,WAS
1,2020-09-13 13:00:00,NE,NE
1,2020-09-13 16:05:00,CIN,LAC
1,2020-09-13 16:25:00,SF,ARI
1,2020-09-13 16:25:00,NO,NO
1,2020-09-13 20:20:00,LAR,LAR
1,2020-09-14 19:15:00,NYG,PIT
1,2020-09-14 22:10:00,DEN,TEN
2,2020-09-17 20:20:00,CLE,CLE
2,2020-09-20 13:00:00,CHI,CHI
2,2020-09-20 13:00:00,PHI,LAR
2,2020-09-20 13:00:00,NYJ,SF
2,2020-09-20 13:00:00,GB,GB
2,2020-09-20 13:00:00,PIT,PIT
2,2020-09-20 13:00:00,DAL,DAL
2,2020-09-20 13:00:00,TEN,TEN
2,2020-09-20 13:00:00,TB,TB
2,2020-09-20 13:00:00,IND,IND
2,2020-09-20 13:00:00,MIA,BUF
2,2020-09-20 16:05:00,ARI,ARI
2,2020-09-20 16:25:00,HOU,BAL
2,2020-09-20 16:25:00,LAC,KC
2,2020-09-20 20:20:00,SEA,SEA
2,2020-09-21 20:15:00,LV,LV
3,2020-09-24 20:20:00,JAX,MIA
3,2020-09-27 13:00:00,BUF,BUF
3,2020-09-27 13:00:00,PIT,PIT
3,2020-09-27 13:00:00,NYG,SF
3,2020-09-27 13:00:00,PHI,PHI
3,2020-09-27 13:00:00,MIN,TEN
3,2020-09-27 13:00:00,ATL,CHI
3,2020-09-27 13:00:00,CLE,CLE
3,2020-09-27 13:00:00,NE,NE
3,2020-09-27 16:05:00,LAC,CAR
3,2020-09-27 16:05:00,IND,IND
3,2020-09-27 16:25:00,DEN,TB
3,2020-09-27 16:25:00,SEA,SEA
3,2020-09-27 16:25:00,ARI,DET
3,2020-09-27 20:20:00,NO,GB
3,2020-09-28 20:15:00,BAL,KC
4,2020-10-01 20:20:00,NYJ,DEN
4,2020-10-04 13:00:00,DAL,CLE
4,2020-10-04 13:00:00,TB,TB
4,2020-10-04 13:00:00,MIA,SEA
4,2020-10-04 13:00:00,CHI,IND
4,2020-10-04 13:00:00,CAR,CAR
4,2020-10-04 13:00:00,HOU,MIN
4,2020-10-04 13:00:00,DET,NO
4,2020-10-04 13:00:00,CIN,CIN
4,2020-10-04 13:00:00,WAS,BAL
4,2020-10-04 16:05:00,LAR,LAR
4,2020-10-04 16:25:00,LV,BUF
4,2020-10-04 20:20:00,SF,PHI
4,2020-10-05 19:05:00,KC,KC
4,2020-10-05 20:15:00,GB,GB
5,2020-10-08 20:20:00,CHI,CHI
5,2020-10-11 13:00:00,NYJ,ARI
5,2020-10-11 13:00:00,WAS,LAR
5,2020-10-11 13:00:00,BAL,BAL
5,2020-10-11 13:00:00,ATL,CAR
5,2020-10-11 13:00:00,KC,LV
5,2020-10-11 13:00:00,PIT,PIT
5,2020-10-11 13:00:00,HOU,HOU
5,2020-10-11 16:05:00,SF,MIA
5,2020-10-11 16:25:00,CLE,CLE
5,2020-10-11 16:25:00,DAL,DAL
5,2020-10-11 20:20:00,SEA,SEA
5,2020-10-12 20:15:00,NO,NO
5,2020-10-13 19:00:00,TEN,TEN
6,2020-10-18 13:00:00,NE,DEN
6,2020-10-18 13:00:00,JAX,DET
6,2020-10-18 13:00:00,TEN,TEN
6,2020-10-18 13:00:00,IND,IND
6,2020-10-18 13:00:00,MIN,ATL
6,2020-10-18 13:00:00,CAR,CHI
6,2020-10-18 13:00:00,PIT,PIT
6,2020-10-18 13:00:00,NYG,NYG
6,2020-10-18 13:00:00,PHI,BAL
6,2020-10-18 16:05:00,MIA,MIA
6,2020-10-18 16:25:00,TB,TB
6,2020-10-18 20:20:00,SF,SF
6,2020-10-19 17:00:00,BUF,KC
6,2020-10-19 20:15:00,DAL,ARI
7,2020-10-22 20:20:00,PHI,PHI
7,2020-10-25 13:00:00,TEN,PIT
7,2020-10-25 13:00:00,HOU,GB
7,2020-10-25 13:00:00,WAS,WAS
7,2020-10-25 13:00:00,NYJ,BUF
7,2020-10-25 13:00:00,CIN,CLE
7,2020-10-25 13:00:00,ATL,DET
7,2020-10-25 13:00:00,NO,NO
7,2020-10-25 16:05:00,LV,TB
7,2020-10-25 16:25:00,NE,SF
7,2020-10-25 16:25:00,DEN,KC
7,2020-10-25 16:25:00,LAC,LAC
7,2020-10-25 20:20:00,ARI,ARI
7,2020-10-26 20:15:00,LAR,LAR
8,2020-10-29 20:20:00,CAR,ATL
8,2020-11-01 13:00:00,MIA,MIA
8,2020-11-01 13:00:00,BAL,PIT
8,2020-11-01 13:00:00,DET,IND
8,2020-11-01 13:00:00,GB,MIN
8,2020-11-01 13:00:00,BUF,BUF
8,2020-11-01 13:00:00,KC,KC
8,2020-11-01 13:00:00,CLE,LV
8,2020-11-01 13:00:00,CIN,CIN
8,2020-11-01 16:05:00,DEN,DEN
8,2020-11-01 16:25:00,SEA,SEA
8,2020-11-01 16:25:00,CHI,NO
8,2020-11-01 20:20:00,PHI,PHI
8,2020-11-02 20:15:00,NYG,TB
9,2020-11-05 20:20:00,SF,GB
9,2020-11-08 13:00:00,MIN,MIN
9,2020-11-08 13:00:00,JAX,HOU
9,2020-11-08 13:00:00,IND,BAL
9,2020-11-08 13:00:00,KC,KC
9,2020-11-08 13:00:00,ATL,ATL
9,2020-11-08 13:00:00,TEN,TEN
9,2020-11-08 13:00:00,WAS,NYG
9,2020-11-08 13:00:00,BUF,BUF
9,2020-11-08 16:05:00,LAC,LV
9,2020-11-08 16:25:00,ARI,MIA
9,2020-11-08 16:25:00,DAL,PIT
9,2020-11-08 20:20:00,TB,NO
9,2020-11-09 20:15:00,NYJ,NE
10,2020-11-12 20:20:00,TEN,IND
10,2020-11-15 13:00:00,CLE,CLE
10,2020-11-15 13:00:00,GB,GB
10,2020-11-15 13:00:00,DET,DET
10,2020-11-15 13:00:00,CAR,TB
10,2020-11-15 13:00:00,NYG,NYG
10,2020-11-15 16:05:00,LV,LV
10,2020-11-15 16:05:00,MIA,MIA
10,2020-11-15 16:05:00,ARI,ARI
10,2020-11-15 16:25:00,PIT,PIT
10,2020-11-15 16:25:00,NO,NO
10,2020-11-15 16:25:00,LAR,LAR
10,2020-11-15 20:20:00,NE,NE
10,2020-11-16 20:15:00,CHI,MIN
11,2020-11-19 20:20:00,SEA,SEA
11,2020-11-22 13:00:00,NO,ATL
11,2020-11-22 13:00:00,JAX,PIT
11,2020-11-22 13:00:00,CAR,DET
11,2020-11-22 13:00:00,HOU,NE
11,2020-11-22 13:00:00,CLE,PHI
11,2020-11-22 13:00:00,BAL,TEN
11,2020-11-22 13:00:00,WAS,CIN
11,2020-11-22 16:05:00,DEN,MIA
11,2020-11-22 16:05:00,LAC,NYJ
11,2020-11-22 16:25:00,MIN,DAL
11,2020-11-22 16:25:00,IND,GB
11,2020-11-22 20:20:00,LV,KC
11,2020-11-23 20:15:00,TB,LAR
12,2020-11-26 12:30:00,DET,HOU
12,2020-11-26 16:30:00,DAL,WAS
12,2020-11-26 20:20:00,PIT,BAL
12,2020-11-29 13:00:00,JAX,CLE
12,2020-11-29 13:00:00,CIN,NYG
12,2020-11-29 13:00:00,MIN,CAR
12,2020-11-29 13:00:00,NE,ARI
12,2020-11-29 13:00:00,NYJ,MIA
12,2020-11-29 13:00:00,BUF,LAC
12,2020-11-29 13:00:00,IND,TEN
12,2020-11-29 13:00:00,ATL,LV
12,2020-11-29 16:05:00,DEN,NO
12,2020-11-29 16:05:00,LAR,SF
12,2020-11-29 16:25:00,TB,KC
12,2020-11-29 20:20:00,GB,CHI
12,2020-11-30 20:15:00,PHI,SEA
13,2020-12-03 20:20:00,BAL,DAL
13,2020-12-06 13:00:00,MIN,JAX
13,2020-12-06 13:00:00,NYJ,LV
13,2020-12-06 13:00:00,TEN,CLE
13,2020-12-06 13:00:00,CHI,DET
13,2020-12-06 13:00:00,MIA,CIN
13,2020-12-06 13:00:00,PIT,WAS
13,2020-12-06 13:00:00,ATL,NO
13,2020-12-06 13:00:00,HOU,IND
13,2020-12-06 16:05:00,SEA,NYG
13,2020-12-06 16:05:00,ARI,LAR
13,2020-12-06 16:25:00,LAC,NE
13,2020-12-06 16:25:00,GB,PHI
13,2020-12-06 20:20:00,KC,DEN
13,2020-12-07 20:15:00,SF,BUF
14,2020-12-10 20:20:00,LAR,NE
14,2020-12-13 13:00:00,DET,GB
14,2020-12-13 13:00:00,TB,MIN
14,2020-12-13 13:00:00,CIN,DAL
14,2020-12-13 13:00:00,NYG,ARI
14,2020-12-13 13:00:00,CHI,HOU
14,2020-12-13 13:00:00,JAX,TEN
14,2020-12-13 13:00:00,CAR,DEN
14,2020-12-13 13:00:00,MIA,KC
14,2020-12-13 16:05:00,LV,IND
14,2020-12-13 16:05:00,SEA,NYJ
14,2020-12-13 16:25:00,SF,WAS
14,2020-12-13 16:25:00,PHI,NO
14,2020-12-13 16:25:00,LAC,ATL
14,2020-12-13 20:20:00,BUF,PIT
14,2020-12-14 20:15:00,CLE,BAL
15,2020-12-17 20:20:00,LV,LAC
15,2020-12-20 13:00:00,DEN,BUF
15,2020-12-20 13:00:00,LAR,NYJ
15,2020-12-20 13:00:00,MIN,CHI
15,2020-12-20 13:00:00,BAL,JAX
15,2020-12-20 13:00:00,ATL,TB
15,2020-12-20 13:00:00,WAS,SEA
15,2020-12-20 13:00:00,NYG,CLE
15,2020-12-20 13:00:00,GB,CAR
15,2020-12-20 13:00:00,TEN,DET
15,2020-12-20 13:00:00,IND,HOU
15,2020-12-20 13:00:00,MIA,NE
15,2020-12-20 16:05:00,ARI,PHI
15,2020-12-20 16:25:00,NO,KC
15,2020-12-20 20:20:00,DAL,SF
15,2020-12-21 20:15:00,CIN,PIT
16,2020-12-25 16:30:00,NO,MIN
16,2020-12-27 01:00:00,ARI,SF
16,2020-12-27 13:00:00,LAC,DEN
16,2020-12-27 13:00:00,PIT,IND
16,2020-12-27 13:00:00,JAX,CHI
16,2020-12-27 13:00:00,DET,TB
16,2020-12-27 13:00:00,KC,ATL
16,2020-12-27 13:00:00,BAL,NYG
16,2020-12-27 13:00:00,NYJ,CLE
16,2020-12-27 13:00:00,LV,MIA
16,2020-12-27 13:00:00,WAS,CAR
16,2020-12-27 13:00:00,HOU,CIN
16,2020-12-27 16:05:00,SEA,LAR
16,2020-12-27 16:25:00,DAL,PHI
16,2020-12-27 20:20:00,GB,TEN
16,2020-12-28 20:15:00,NE,BUF
17,2021-01-03 13:00:00,PHI,WAS
17,2021-01-03 13:00:00,CAR,NO
17,2021-01-03 13:00:00,HOU,TEN
17,2021-01-03 13:00:00,CHI,GB
17,2021-01-03 13:00:00,NE,NYJ
17,2021-01-03 13:00:00,CIN,BAL
17,2021-01-03 13:00:00,IND,JAX
17,2021-01-03 13:00:00,DET,MIN
17,2021-01-03 13:00:00,NYG,DAL
17,2021-01-03 13:00:00,CLE,PIT
17,2021-01-03 13:00:00,TB,ATL
17,2021-01-03 13:00:00,BUF,MIA
17,2021-01-03 13:00:00,KC,LAC
17,2021-01-03 16:25:00,DEN,LV
17,2021-01-03 16:25:00,SF,SEA
17,2021-01-03 16:25:00,LAR,ARI
