No.,Player,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
13,Christian Blake,24,WR,181,6-1,NIU,2,ATL,0,0,1,0,0,0
83,Russell Gage,24,WR,184,6-0,LSU,2,ATL,0,0,1,0,0,0
87,Jaeden Graham,25,TE,250,6-4,Yale,1,ATL,0,0,0,1,0,0
21,Todd Gurley,26,RB,224,6-1,Georgia,5,ATL,0,1,0,0,0,0
23,Brian Hill,25,RB,219,6-1,Wyoming,3,ATL,0,1,0,0,0,0
81,Hayden Hurst,27,TE,245,6-4,South Carolina,2,ATL,0,0,0,1,0,0
11,Julio Jones ,31,WR,220,6-3,Alabama,9,ATL,0,0,1,0,0,0
7,Younghoe Koo,26,K,185,5-10,Georgia Southern,3,ATL,0,0,0,0,1,0
30,Qadree Ollison,24,RB,232,6-1,Pittsburgh,1,ATL,0,1,0,0,0,0
15,Brandon Powell,24,WR,188,5-8,Florida,2,ATL,0,0,1,0,0,0
18,Calvin Ridley,26,WR,190,6-1,Alabama,2,ATL,0,0,1,0,0,0
2,Matt Ryan,35,QB,217,6-4,Boston Col.,12,ATL,1,0,0,0,0,0
8,Matt Schaub,39,QB,245,6-6,Virginia,16,ATL,1,0,0,0,0,0
25,Ito Smith,25,RB,195,5-9,Southern Miss,2,ATL,0,1,0,0,0,0
88,Luke Stocker,32,TE,253,6-5,Tennessee,9,ATL,0,0,0,1,0,0
17,Olamide Zaccheaus,23,WR,193,5-8,Virginia,1,ATL,0,0,1,0,0,0
